title,brand_name,original_price,discount_price,discount_amount,discount_percentage,rating,review_count,battery_capacity(Ah),battery_life(year),battery_voltage(V),mileage_per_charge(Km),motor(W),maximum_speed(km/hr)
Xci Stormbreaker X1 10.4Ah Li-ion 27.5T Black Electric Cycle 250W,XCI,47999,25499,22500,46.88%,3.82,55,10.4,2,13.75,68,250,26
"ALTER 26"" 002S-FLY MODEL ELECTRIC CYCLE,95% PRE-ASSEMBLED WITH CH",ALTER,50000,27047,22953,45.91%,4.19,22,7.8,1,36,68,58,30
MATELCO ULTRA EA IBC26 WITH CARRIER AND STEEL MUDGAURD GREEN & BL,MATELCO,54999,26789,28210,51.29%,3.4,8,5.2,4,1,68,26,26
LECTRO Y5 27.5 inches Single Speed Lithium-ion (Li-ion) Electric,LECTRO,32990,32490,500,1.52%,3.8,25,6.93,2,4,68,261,26
"ALTER 26"" ELECTRIC CYCLE 002S | YELLOW | 95% PRE- ASSEMBLED WITH",ALTER,55000,25411,29589,53.80%,4.6,24,7.8,1,36,68,5,30
Motovolt Hum Nova Blue Range upto 45 Km in PAS Mode 26 inches Sin,MOTOVOLT,41999,35399,6600,15.71%,3.9,203,6,4,4,45,4,26
EMotorad Legend 07_Black_10.2 aH_ 27.5 inch 27.5 inches Single Sp,EMOTORAD,34999,32999,2000,5.71%,4.3,65,10.2,5,3,105,4,24
"ALTER 20"" HANZORX KIDS ELECTRIC CYCLE, 95% PRE-ASSEMBLED WITH CHA",ALTER,46000,25448,20552,44.68%,3.9,14,7.8,1,36,68,532,30
"ALTER 26"" 003 PRO MODEL ELECTRIC CYCLE| REMOVABLE LI-ION BATTERY",ALTER,50000,30429,19571,39.14%,4.19,22,7.8,1,36,68,250,30
EMotorad X1 Red 10.2 aH with mudguard and light 27.5 inches Singl,EMOTORAD,34999,30999,4000,11.43%,4.02,96,10.2,5,7.31,105,250,25
MATELCO ULTRA EA IBC27 WITH CARRIER AND STEEL MUDGAURD NEON 27.5,MATELCO,55999,26789,29210,52.16%,3.4,8,7.65,4,1,68,27,26
GODAUP Y1- WHITE 10 inches Single Speed Lead-acid (SLA) Electric,GODAUP,34990,29082,5908,16.88%,3.9,39,25,1,4,68,5,25
Motovolt Kivo Neon Satin Range upto 75 Km in PAS Mode 26 inches S,MOTOVOLT,44999,35599,9400,20.89%,4,32,12,4,8.63,75,529,26
Motovolt URBN Sky Blue Range upto 105 Km in PAS Mode 20 inches Si,MOTOVOLT,54999,50849,4150,7.55%,4.1,214,9.72,4,1,105,250,26
EMotorad X1 Grey 7.65 aH with mudguard and light 27.5 inches Sing,EMOTORAD,32999,27999,5000,15.15%,4.02,96,7.65,5,7.31,105,504,25
EMotorad X1 Red 7.65 aH with mudguard and light 27.5 inches Singl,EMOTORAD,32999,27999,5000,15.15%,4.02,96,7.65,5,7.31,105,504,30
Montra Unplugged 27.5 inches Single Speed Lithium-ion (Li-ion) El,MONTRA,31000,31000,0,0.00%,3,3,7.65,5,13.75,68,504,26
MATELCO URBANO Ei26 WITH CARRIER BLACK 26 inches 7 Gear Lithium-i,MATELCO,44999,27788,17211,38.25%,2.3,3,7.65,4,1,68,26,26
CRADIAC ATLUS ELECTRIC RED 7 SPEED|FRONT SUSPENSION|7.8AH BATTERY,CRADIAC,42000,26986,15014,35.75%,4.3,6,7.8,6,3,68,529,25
"Uboard Space Bike - Electric Foldable Lightweight Aluminum Frame,",UBOARD,49999,37900,12099,24.20%,3.82,55,8.4,8,13.75,68,624,30
"ALTER 26"" 002S ELECTRIC CYCLE | 95% PRE- ASSEMBLED WITH CHARGER (",ALTER,55000,27199,27801,50.55%,4.6,24,7.8,1,36,68,5,30
MATELCO ULTRA EA 26x300 TYRE GREEN BLACK 26 inches Single Speed L,MATELCO,39999,26839,13160,32.90%,3.4,8,7.65,4,1,68,529,26
Motovolt Kivo 24 Lilac upto 105 Km Range in PAS Mode 24 inches Si,MOTOVOLT,48999,38899,10100,20.61%,4.3,8,5.2,4,3,67,1,26
Neelam Static-BLK-7.8AH-T26 26 inches Single Speed Lithium-ion (L,NEELAM,31241,26861,4380,14.02%,3,2,7.8,4,13.75,45,529,26
Neelam STATIC-7.8AH-27.5T 27.5 inches Single Speed Lithium-ion (L,NEELAM,31241,26858,4383,14.03%,3,2,7.8,4,13.75,45,167,26
MATELCO ULTRA EA27 DUEL TONE 27.5 inches Single Speed Lithium-ion,MATELCO,39999,26789,13210,33.03%,3.4,8,7.65,4,1,68,304,26
"ALTER 26"" 002SPRO-HL ELECTRIC CYCLE, 95% PRE-ASSEMBLED WITH CHARG",ALTER,50000,31540,18460,36.92%,4.19,22,5.2,1,36,68,250,30
Motovolt Kivo Easy Lite Pink Range upto 45 Km in PAS Mode 26 inch,MOTOVOLT,32999,26999,6000,18.18%,3.7,169,9.72,4,8.63,45,250,26
MATELCO ULTRA EA26 PINK 26 inches Single Speed Lithium-ion (Li-io,MATELCO,34999,26789,8210,23.46%,3.4,8,6.54,4,1,68,532,26
Motovolt Hum Black Range upto 45 Km in PAS Mode 26 inches Single,MOTOVOLT,41999,35399,6600,15.71%,3.9,203,6,4,4,45,250,26
Motovolt Kivo 24 Carbon Grey upto 105 Km Range in PAS Mode 24 inc,MOTOVOLT,48999,38899,10100,20.61%,4.3,8,5.2,4,3,67,1,26
"ALTER 26"" 002SPRO-HL ELECTRIC CYCLE, 95% PRE-ASSEMBLED WITH CHARG",ALTER,55000,32271,22729,41.33%,4,28,7.65,1,36,68,250,30
Motovolt HUM 24 Carbon Grey Range upto 75 Km in PAS Mode 24 inche,MOTOVOLT,46999,38299,8700,18.51%,3.6,7,12,4,4,75,529,26
EMotorad ST-X Unisex City Cycle with 7.65Ah Removable Battery | C,EMOTORAD,35999,34999,1000,2.78%,3.9,12,7.65,5,36,105,1,24
Neelam Fat-bike-khaki-10.4AH 26 inches Single Speed Lithium-ion (,NEELAM,40999,37998,3001,7.32%,2.7,3,10.4,4,13.75,45,529,26
MATELCO UBERO EA26 RED/BLACK TYRE 26 inches Single Speed Lithium-,MATELCO,34999,24063,10936,31.25%,3.4,8,5.2,4,1,68,250,26
Motovolt HUM 24 Nova Blue Range upto 105 Km in PAS Mode 24 inches,MOTOVOLT,51999,41899,10100,19.42%,3.6,7,16,4,4,105,529,26
"ALTER 26"" 002SPRO-HL ELECTRIC CYCLE, 95% PRE-ASSEMBLED WITH CHARG",ALTER,60000,33182,26818,44.70%,4,28,13,1,36,68,5,30
Ecycle Garud 0.0 26 inches Single Speed Lithium Iron Phosphate El,ECYCLE,33000,29200,3800,11.52%,3.82,55,8.4,3,13.75,68,624,23
Neelam Static-BLK-10.5AH-T26 26 inches Single Speed Lithium-ion (,NEELAM,33489,27865,5624,16.79%,3,2,10.5,4,13.75,45,529,26
GODAUP Y1_WHITE 10 inches Single Speed Lead-acid (SLA) Electric C,GODAUP,34990,29029,5961,17.04%,4,3,5.2,1,4,68,250,25
26TNeelamShoc 26 inches Single Speed Lithium-ion (Li-ion) Electri,26TNEELAMSHOC,35000,27000,8000,22.86%,3.82,55,8.4,4,13.75,68,367,26
Neelam PRIZM-ICEBLUE-7.8AH-27.5T-INBUILTBATTERY 27.5 inches Singl,NEELAM,31241,26661,4580,14.66%,2.88,2,7.8,4,13.75,45,979,26
Neelam PRIZM-PINK-27.5T-7.8AH 27.5 inches Single Speed Lithium-io,NEELAM,31241,25845,5396,17.27%,2.88,2,7.8,4,13.75,45,250,26
VigorEbike ZE 20 inches Single Speed Lithium-ion (Li-ion) Electri,VIGOREBIKE,51999,36343,15656,30.11%,3.82,55,8.4,1,3,68,624,26
Motovolt HUM 24 Black Range upto 75 Km in PAS Mode 24 inches Sing,MOTOVOLT,46999,38299,8700,18.51%,3.6,7,7.65,4,4,75,250,26
MATELCO URBANO EA 26x300 TYRE WITH BIG DISPLAY GREEN 26 inches Si,MATELCO,39000,30881,8119,20.82%,3.4,8,5.2,4,1,68,250,26
Motovolt Hum Carbon Grey Range upto 45 Km in PAS Mode 26 inches S,MOTOVOLT,41999,35399,6600,15.71%,3.9,203,6,4,4,45,250,26
Neelam BF-LMN-GRN-7.8AH-T26 26 inches Single Speed Lithium-ion (L,NEELAM,33341,26849,6492,19.47%,2.88,2,7.8,4,13.75,45,250,26
Motovolt Kivo Easy Pink upto 75 Km Range in PAS Mode 26 inches Si,MOTOVOLT,42999,35599,7400,17.21%,3.8,95,12,4,8.63,67,250,26
