title,brand_name,original_price,discount_price,discount_amount,discount_percentage,rating,review_count,battery_capacity(Ah),battery_life(year),battery_voltage(V),mileage_per_charge(km),motor(W),maximum_speed(km/hr)
BNF®E-Bike Rear Light 6V-60V Night Tailight Easy Install Fit for Electric Bike Waterproof Connector|Sporting Goods|Cycling|Bicycle Accessories |Package Includes:1 x Tailight,BNF®E-Bike,2865,1685,1180,41.19%,4.08,69,17.56,1,6,48,26,25
BNF®Electric Bike LCD Display 22.2mm Dia Handlebar Accessories LCD Display Meter|Sporting Goods|Cycling|Bicycle Components & Parts |Package Includes:1 Electric Bike LCD Display,BNF®Electric,7114,4185,2929,41.17%,4.08,69,17.56,1,500,48,26,25
CLUB BOLLYWOOD® 3X E Bike Motor Gear Part Electric Bicycle Nylon Gear for Bicycle Motorcycle|Sporting Goods | Cycling |Electric Bicycle Components|0,CLUB,2361,1389,972,41.17%,4.08,69,17.56,1,500,48,26,25
Club Bollywood® Electric Bicycle LCD Display 24V 36V 48V Scooter LCD Panel M5 E Bike Display|Sporting Goods | Cycling |Electric Bicycle Components|0,Club,8810,5318,3492,39.64%,4.08,69,17.56,1,24,48,26,25
CLUB BOLLYWOOD®CB-Kids Bike Basket Front Decoration Carrying Handlebar Basket for Boys Camping|Sporting Goods |Cycling |Bicycle Accessories |1 Kids Bike Basket,CLUB,2797,1638,1159,41.44%,4.08,69,17.56,1,500,48,26,25
"Cradiac Squad 21 Speed High Performance Steel Mountain Cycles for Men with Front Suspension & Dual Disc Brake 21 Geared MTB Bike 29 T | Ideal for 15+ Years, Unisex, Frame Size : 18.5 inch",Cradiac,26999,12677,14322,53.05%,4,519,17.56,1,500,48,26,25
CULTSPORT by Cult Escalator 27.5T Grey with 250W BLDC Motor| 4 Hours Fast Charge| 7.8 Ah Li-ion Battery| Up to 35 Km| 27.5 Inches Wheels| Single Speed Electric Cycle | Ideal for 15+ Years,CULTSPORT,34999,34999,0,0.00%,4.08,69,7.8,1,500,35,25,15
CYPRO 26 DXE ECO Pulse E - Bicycle,CYPRO,29999,25999,4000,13.33%,4.08,69,7.8,1,500,55,26,25
"E MOTORAD - RIDE THE ELECTRIC REVOLUTION T-REX AIR Unisex Electric Bicycle 29"" Wheel Size 16.5inch Frame 250W BLDC Motor Front Suspension 7 Speed Shimano Gears (Metallic Red, 29 inch Wheel)",EMotorad,47999,37499,10500,21.88%,4,179,3,1,500,25,25,25
"E MOTORAD - RIDE THE ELECTRIC REVOLUTION Unisex X1 Mountain Electric Cycle with Removable Battery, 27.5inch Wheel Size, Front Suspension, 250W BLDC Motor, 90% Assembled (10.2Ah Battery, Ruby Red)",EMotorad,32999,30999,2000,6.06%,4.1,762,10.2,1,500,25,25,25
Electric Bicycles Front Mount Seat Portable Kids Seat Saddle Handrail1 Front Seat Saddle for ChildSporting GoodsSporting Goods|Sporting Goods|Sporting Goods,Electric,20935,8286,12649,60.42%,5,1,8.1,1,500,47,33,25
"Electric Bike GM360+ | 26"" Tyre | 25 km/h Top Speed | 250W Motor | Disc Brakes | 10.4Ah Detachable NMC Battery | 3-Level Pedal Assist | Spring Front Suspension | Grey",Electric,37999,37999,0,0.00%,5,1,10.4,1,500,25,25,25
