title,brand_name,original_price,discount_price,discount_amount,discount_percentage,rating,review_count,battery_capacity(Ah),battery_life(year),battery_voltage(V),mileage_per_charge(km),motor(W),maximum_speed(km/hr)
SVITCH Lite XE Electric Bicycle for Men and Women | Lightweight Aluminum Frame | Powerful Motor & Long Battery Life | Foldable & Portable | Ideal for City & Off-Road (Grey),SVITCH,85399,85399,0,0.00%,1,1,10.4,1,500,80,25,25
SVITCH Velono Electric Bicycle for Man and Woman | Battery: 7.8 AH LI-ION | Motor: 36V 250W | Headlight: 280LM | Head Light | INBUILT Horn (Charcoal Grey),SVITCH,29999,29999,0,0.00%,5,2,7.8,1,36,30,25,25
SVITCH Velono Electric Bicycle for Man and Woman | Battery: 7.8 AH LI-ION | Motor: 36V 250W | Headlight: 280LM | Head Light | INBUILT Horn (Neon Green),SVITCH,29999,29999,0,0.00%,5,2,7.8,1,36,30,25,25
"SVITCH XE+ Electric Bicycle for Adults - Foldable E-Bike with 250W Motor, 48V 14.5Ah Battery (80-120 km Range), 8-Speed Shimano Gears, Dual Shock, Fat Tyres, Disc Brakes, LCD Display, LED Light (Grey)",SVITCH,159999,159999,0,0.00%,5,1,14.5,1,48,100,25,25
"TATTVALABS SJ-Warrior Unisex Electric Cycle|26""X1.95"" Ralson Tires|Dual Disc & Cut-Off Brakes|9Ah LG Li-Ion in-Built Battery|Fast Charging|Upto 50 Km Range on PAS|Cruise Control|Made in India",TATTVALABS,35000,22000,13000,37.14%,2.8,37,9,1,500,50,26,25
"TATTVALABS SJ-X1 Unisex Electric Cycle|26""X2.1"" Tires with Front Suspension|Dual Disc & Cut-Off Brakes|9Ah Li-Ion Removable Battery|Fast Charging|Upto 50 Km Range on PAS|Cruise Control|Made in India",TATTVALABS,40000,22400,17600,44.00%,3.4,16,9,1,500,50,26,25
"UBOARD Space Bike Electric Foldable Mini E-Bike with Air Rear Suspension|250W Motor, 36V 8Ah Battery, Up to 30 km Range, 25 km/h|Compact Lightweight Design, Dual Disc Brakes & LED Lights–Neon Green",UBOARD,50150,37999,12151,24.23%,4.4,20,8,1,36,30,25,25
"UBOARD Space Bike Electric Foldable Mini E-Bike|250W Motor, 36V 8Ah Battery, Up to 30 km Range, 25 km/h Speed|Lightweight Frame, Adjustable Seat, Dual Disc Brakes, LED Lights & LCD Display – Black",UBOARD,50150,40269,9881,19.70%,4.4,20,8,1,36,30,25,25
"UBOARD Space Bike Electric Foldable Mini E-Bike|250W Motor, 36V 8Ah Battery, Up to 30 km Range, 25 km/h|Lightweight Frame, Adjustable Seat, Dual Disc Brakes, LED Lights & LCD Display – Blue",UBOARD,69999,40269,29730,42.47%,4.4,20,8,1,36,30,25,25
"Ultrabikes Cityride Moped | 60V 25Ah Lithium Ion Battery | 550 Watt Motor | 50 Top Speed | Upto 80 Km in Single Charge. (Black), for Adult",Ultrabikes,45999,45999,0,0.00%,2.3,5,25,2,60,80,55,25
Ultrabikes Dazzle Foldable E Bicycle (Black),Ultrabikes,56999,56999,0,0.00%,2.3,5,13,2,500,105,35,25
"V1 Electric Cycle | Battery Cycle for Adults & Students | 36V Motor, 40 Km Range, Rechargeable E Bike with Disc Brakes (Storm SEA)",V1,25999,25999,0,0.00%,4.08,69,7.65,1,36,40,25,25
VELURA Back Seat Cargo Carrier Rear Bike Basket for Mountain Bike for Cycling Bikes with Lid|1 Rear Bike Basket|Baskets| Cycling |Sporting Goods,VELURA,8008,4705,3303,41.25%,4.08,69,17.56,2,500,48,26,25
VELURA Bike Cup Holder Bicycle Water Bottle Holder for Outdoor Mountain Road E Bike Purple|1 Set Bike Water Bottle,VELURA,2160,1105,1055,48.84%,4.08,69,17.56,2,500,48,26,25
VELURA Bike Cup Holder Bicycle Water Bottle Holder for Outdoor Mountain Road E Bike Purple|1 Set Bike Water Bottle |Sporting Goods|Sporting Goods|Sporting Goods,VELURA,2160,1105,1055,48.84%,4.08,69,17.56,2,500,48,26,25
VELURA Bike Rear Derailleur Hanger Extender Adapter Parts Compatible Large Sprocket Black|1 Bike Derailleur Hanger Extender|Derailleurs (Rear)| Cycling |Sporting Goods,VELURA,1480,776,704,47.57%,4.08,69,17.56,2,500,48,26,25
VELURA Kids Bike Helmet Set Portable for Skateboarding Outdoor Sports Rollerblading Pink|1x Helmet|Helmets| Cycling |Sporting Goods,VELURA,3204,1580,1624,50.69%,4.08,69,17.56,2,500,48,26,25
VELURA Kids Bike Tire High Performance Good Water Drainage Easy Installation Rubber Dia 40 cm|1 Bike Outer Tire|Tires| Cycling |Sporting Goods,VELURA,3370,1773,1597,47.39%,4.08,69,17.56,2,500,48,26,25
VELURA Kids Bike Training Wheels Sturdy for 16-24 inch Kids Bike for Riding Cycling|1 Pair Children Bikes Auxiliary Wheels|Training Wheels| Cycling |Sporting Goods,VELURA,7526,4027,3499,46.49%,4.08,69,17.56,2,500,48,26,25
Velzi Electric Cycle for Adults | Fat Tyre E-Bike | Dual Suspension | 25 km/h Top Speed | Comfortable Upright Ride | Stylish Urban Commuter Electric Bicycle (Onyx Black),Velzi,74999,54999,20000,26.67%,5,1,15.6,1,500,25,26,25
"Vigor ZX Electric Cycle with Dual Disc Brakes, 350w Hub Motor, 8.5Ah Li-Ion Battery, Throttle with Battery Indicator, 95% Pre-Assembled with Charger, Black Color,Fat Tyre ,(Black,Yellow,Pink)",Vigor,59999,39769,20230,33.72%,4.2,3,8.5,1,500,25,35,25
VigorEbike X FAT Tyre 20 x 400 Inches Lithium Ion E-Moto Bike 60 KM Range 48V Battery,VigorEbike,74999,48499,26500,35.33%,4.08,69,15.5,1,48,60,26,25
"VIR V3 Desert Raptor 27.5"" Electric Cycle: Lightweight Aluminum Frame, Detachable Battery, 50KM Range, Maxxis Tires, 250W hub Motor, 5-Level Display—Perfect ebike for Men, Women, and Kids",VIR,34999,34999,0,0.00%,5,2,14.5,12,500,50,25,25
